equation_set,equation_type,term_name,coefficient
1,x,C_x,-0.2780068404240728
1,x,x_x,-0.03386213337994946
1,x,y_x,0.22204613836382048
1,x,dx/dt_x,0.3360168720895626
1,x,d^2x/dt^2_x,1.2535663410560176
1,x,dy/dt_x,0.5018421539012464
1,x,d^2y/dt^2_x,0.006866958288348905
1,x,t_x,0.2399150722962546
1,x,t^2_x,0.44669619089741675
1,x,x*dx/dt_x,0.002938298940722899
1,x,y*dy/dt_x,-5.029660745018154e-05
1,x,dx/dt*dy/dt_x,0.0009014964074870569
1,x,dx/dt*d^2x/dt^2_x,-2.229679302879472
1,x,dx/dt*d^2y/dt^2_x,0.00021036181270030744
1,x,dx/dt*t_x,0.008439068210965803
1,x,d^2y/dt^2*t_x,0.011629549587118239
1,x,d^2y/dt^2*sin_x,0.4472135954999579
1,y,C_y,-1.5219409087179008
1,y,x_y,0.7794239149492305
1,y,y_y,-0.29389320892257587
1,y,dx/dt_y,-0.008740328529761716
1,y,d^2x/dt^2_y,0.2547418550938874
1,y,dy/dt_y,-1.8536110980479605
1,y,d^2y/dt^2_y,-0.22321002098664583
1,y,t^2_y,3.2401756674187756
1,y,y*d^2y/dt^2_y,0.003906559570851583
1,y,dy/dt*dx/dt_y,0.29822892927619776
1,y,dy/dt*d^2x/dt^2_y,0.6993724231563635
1,y,d^2x/dt^2*d^2y/dt^2_y,-0.00346217237376407
1,y,t*d^2y/dt^2_y,0.0008920387015824167
1,y,t^2*y_y,0.0024478932257634635
1,y,dx/dt*sin_y,0.00433034716847866
1,y,dx/dt*cos_y,0.006737790285747939
2,x,C_x,-0.6929598078263073
2,x,x_x,3.6685491814535034
2,x,y_x,-4.1231054057899685
2,x,dx/dt_x,-2.8265622948186415
2,x,d^2x/dt^2_x,1.2535663410560176
2,x,dy/dt_x,0.5258735439111837
2,x,d^2y/dt^2_x,-0.008292818967322431
2,x,t_x,0.21453014692003414
2,x,t^2_x,0.4472135954999579
2,x,x*dx/dt_x,0.005078379698148739
2,x,y*dy/dt_x,0.0022564165673948744
2,x,dx/dt*dy/dt_x,0.0066131809770236
2,x,dx/dt*d^2x/dt^2_x,0.44533805888642874
2,x,dx/dt*d^2y/dt^2_x,-0.00042683382844164265
2,x,dx/dt*t_x,-0.005740983974477904
2,x,d^2y/dt^2*t_x,-0.0008815954680307618
2,x,d^2y/dt^2*sin_x,0.4472135954999579
2,y,C_y,0.44847842574291163
2,y,x_y,-0.5260593548002763
2,y,y_y,-0.30151134457776363
2,y,dx/dt_y,-0.004859894541117976
2,y,d^2x/dt^2_y,0.23191476468936445
2,y,dy/dt_y,0.5256245789169236
2,y,d^2y/dt^2_y,-0.23788403085700363
2,y,t^2_y,-0.22551683663762706
2,y,y*d^2y/dt^2_y,-0.0076387069345245735
2,y,dy/dt*dx/dt_y,0.9670129688196727
2,y,dy/dt*d^2x/dt^2_y,0.7045478753474783
2,y,d^2x/dt^2*d^2y/dt^2_y,-0.014360794190569218
2,y,t*d^2y/dt^2_y,-0.0018598293422661802
2,y,t^2*y_y,-0.005749129011977573
2,y,dx/dt*sin_y,0.007119416134440777
2,y,dx/dt*cos_y,-0.007613900265394985
3,x,C_x,-0.26079442777335077
3,x,x_x,-0.01782854119106386
3,x,y_x,0.24376115236425064
3,x,dx/dt_x,0.3500128805889203
3,x,d^2x/dt^2_x,-0.7877570396867393
3,x,dy/dt_x,-1.921619092078706
3,x,d^2y/dt^2_x,-0.003518430302343687
3,x,t_x,0.23337026150064036
3,x,t^2_x,0.4422187962165704
3,x,x*dx/dt_x,-0.003500941068686916
3,x,y*dy/dt_x,-0.000450034834897123
3,x,dx/dt*dy/dt_x,-0.0006615755633444084
3,x,dx/dt*d^2x/dt^2_x,0.44721359549995787
3,x,dx/dt*d^2y/dt^2_x,-0.018589402966921513
3,x,dx/dt*t_x,-0.010237137770294256
3,x,d^2y/dt^2*t_x,-0.0005622392658751115
3,x,d^2y/dt^2*sin_x,0.4472135954999579
3,y,C_y,0.41840509511646284
3,y,x_y,-0.5296704750102588
3,y,y_y,-0.30151134457776363
3,y,dx/dt_y,-0.0035028293345485697
3,y,d^2x/dt^2_y,0.1004802930363981
3,y,dy/dt_y,0.5276998304318049
3,y,d^2y/dt^2_y,-0.23503117251709577
3,y,t^2_y,-0.21581781890284757
3,y,y*d^2y/dt^2_y,-0.006164262298252528
3,y,dy/dt*dx/dt_y,0.2942738308793013
3,y,dy/dt*d^2x/dt^2_y,0.6948387181873406
3,y,d^2x/dt^2*d^2y/dt^2_y,0.001396534309443716
3,y,t*d^2y/dt^2_y,0.0009236669515395666
3,y,t^2*y_y,0.0006414118295587324
3,y,dx/dt*sin_y,-0.007674913401719326
3,y,dx/dt*cos_y,-0.01015777218845282
4,x,C_x,0.06471998788293076
4,x,x_x,-1.282058628235621
4,x,y_x,0.24376115236425064
4,x,dx/dt_x,0.35094712268346717
4,x,d^2x/dt^2_x,-0.7977240352174656
4,x,dy/dt_x,0.5258735439111837
4,x,d^2y/dt^2_x,-0.006656559760948755
4,x,t_x,0.24253574493501365
4,x,t^2_x,-2.235489245514402
4,x,x*dx/dt_x,0.0011545859433681653
4,x,y*dy/dt_x,0.0024204945531026596
4,x,dx/dt*dy/dt_x,0.0065423283429200734
4,x,dx/dt*d^2x/dt^2_x,0.44721359549995787
4,x,dx/dt*d^2y/dt^2_x,-0.007026069310343708
4,x,dx/dt*t_x,0.0013027161459139246
4,x,d^2y/dt^2*t_x,-0.0045652697638362575
4,x,d^2y/dt^2*sin_x,0.43969493889380323
4,y,C_y,0.45052653329724474
4,y,x_y,-0.5341684896551607
4,y,y_y,3.3166247903554
4,y,dx/dt_y,0.0017853883335693795
4,y,d^2x/dt^2_y,0.2423363964245735
4,y,dy/dt_y,0.5361287780238304
4,y,d^2y/dt^2_y,-0.22497874033568438
4,y,t^2_y,-0.22454835256534939
4,y,y*d^2y/dt^2_y,-0.0096758858722125
4,y,dy/dt*dx/dt_y,0.3132123093678367
4,y,dy/dt*d^2x/dt^2_y,-1.4132690585456964
4,y,d^2x/dt^2*d^2y/dt^2_y,-0.005189999271838212
4,y,t*d^2y/dt^2_y,0.005758876594247685
4,y,t^2*y_y,0.0030530489252043624
4,y,dx/dt*sin_y,-0.0016934082895591989
4,y,dx/dt*cos_y,0.0047745755465020395
5,x,C_x,-0.25304815422638127
5,x,x_x,-0.014814452113015212
5,x,y_x,0.24376115236425064
5,x,dx/dt_x,0.3517945776468992
5,x,d^2x/dt^2_x,-0.7977240352174656
5,x,dy/dt_x,0.5191539780656683
5,x,d^2y/dt^2_x,-0.0016316710407653623
5,x,t_x,0.24170871841311783
5,x,t^2_x,0.4472135954999579
5,x,x*dx/dt_x,-0.0009694656130416873
5,x,y*dy/dt_x,0.007676288345270095
5,x,dx/dt*dy/dt_x,-0.003067761206870561
5,x,dx/dt*d^2x/dt^2_x,0.4371770845802457
5,x,dx/dt*d^2y/dt^2_x,0.004325197952206036
5,x,dx/dt*t_x,0.005016624303406665
5,x,d^2y/dt^2*t_x,-0.0008211021242875341
5,x,d^2y/dt^2*sin_x,-2.23606797749979
5,y,C_y,0.46616846337569945
5,y,x_y,-0.5373759657985036
5,y,y_y,-0.2990970320161643
5,y,dx/dt_y,-0.002533992463950523
5,y,d^2x/dt^2_y,0.24655922213729117
5,y,dy/dt_y,0.5207457070198358
5,y,d^2y/dt^2_y,-0.24436830979701876
5,y,t^2_y,-0.28897385965287553
5,y,y*d^2y/dt^2_y,-0.003931670806047756
5,y,dy/dt*dx/dt_y,0.30769690270871697
5,y,dy/dt*d^2x/dt^2_y,0.7071067811865475
5,y,d^2x/dt^2*d^2y/dt^2_y,-0.003418311100216418
5,y,t*d^2y/dt^2_y,-0.0023487589146528693
5,y,t^2*y_y,0.001728445978611428
5,y,dx/dt*sin_y,0.0036094542844014726
5,y,dx/dt*cos_y,-0.008361710290126211
6,x,C_x,-0.2482599304668099
6,x,x_x,-0.008486504300230818
6,x,y_x,0.24376115236425064
6,x,dx/dt_x,0.35375158503449344
6,x,d^2x/dt^2_x,-0.7977240352174656
6,x,dy/dt_x,0.5258735439111837
6,x,d^2y/dt^2_x,0.0020514384944786963
6,x,t_x,0.24253574493501365
6,x,t^2_x,0.4472135954999579
6,x,x*dx/dt_x,0.005292964193086073
6,x,y*dy/dt_x,0.0015461279703651168
6,x,dx/dt*dy/dt_x,0.005078965367218985
6,x,dx/dt*d^2x/dt^2_x,0.4421291818388166
6,x,dx/dt*d^2y/dt^2_x,-0.007637873331151401
6,x,dx/dt*t_x,-0.002288960661641887
6,x,d^2y/dt^2*t_x,0.001249049566370364
6,x,d^2y/dt^2*sin_x,0.4472135954999579
6,y,C_y,0.4221446056600335
6,y,x_y,-0.5244103865444232
6,y,y_y,-0.30151134457776363
6,y,dx/dt_y,-0.0056524778280066116
6,y,d^2x/dt^2_y,0.23746810535858226
6,y,dy/dt_y,0.5264445303034179
6,y,d^2y/dt^2_y,-0.24436830979701876
6,y,t^2_y,-0.2178816217254415
6,y,y*d^2y/dt^2_y,0.014823492507926804
6,y,dy/dt*dx/dt_y,0.30228027841295724
6,y,dy/dt*d^2x/dt^2_y,-1.4142135623730951
6,y,d^2x/dt^2*d^2y/dt^2_y,0.003768000409696115
6,y,t*d^2y/dt^2_y,-0.0018380436238480471
6,y,t^2*y_y,-0.0012154395855411139
6,y,dx/dt*sin_y,-0.004831427491877486
6,y,dx/dt*cos_y,-0.0030186860745285127
7,x,C_x,4.075459822474315
7,x,x_x,-0.021945476036850108
7,x,y_x,0.2415670618422553
7,x,dx/dt_x,0.35375158503449344
7,x,d^2x/dt^2_x,1.2470138673039597
7,x,dy/dt_x,0.5258735439111837
7,x,d^2y/dt^2_x,-0.44721359549995787
7,x,t_x,-4.123105625617212
7,x,t^2_x,-0.002788132846241825
7,x,x*dx/dt_x,-0.005219795629190821
7,x,y*dy/dt_x,2.23606797749979
7,x,dx/dt*dy/dt_x,0.44721359549995787
7,x,dx/dt*d^2x/dt^2_x,0.010616657084768935
7,x,dx/dt*d^2y/dt^2_x,-0.004878618042208147
7,x,dx/dt*t_x,-2.227093217823448
7,x,d^2y/dt^2*t_x,-0.447213595499958
7,x,d^2y/dt^2*sin_x,0.004012888570042921
7,y,C_y,0.22302723079137637
7,y,x_y,0.005061173274713328
7,y,y_y,-0.30151134457776363
7,y,dx/dt_y,-3.316458060681457
7,y,d^2x/dt^2_y,0.24547973753492677
7,y,dy/dt_y,0.5361287780238304
7,y,d^2y/dt^2_y,4.123101945948362
7,y,t^2_y,-0.22588546908450138
7,y,y*d^2y/dt^2_y,0.009303316714902646
7,y,dy/dt*dx/dt_y,0.31014919794805634
7,y,dy/dt*d^2x/dt^2_y,-0.013183932817149763
7,y,d^2x/dt^2*d^2y/dt^2_y,0.0024302663287244742
